slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
coefficient-algebra,Coefficient,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"A coefficient is the number multiplied by the variable in a term, such as the 7 in 7x.","In 7x, the coefficient is 7.","In -3y, the coefficient is -3.",The coefficient is the number factor attached to the variable.,"Co-efficient sits in front, doing the multiplying.",constant-algebra;multi-step-equation-algebra;distributive-property-algebra;equation-algebra,DONE (OCR from card),a1ee_coefficient.png
constant-algebra,Constant,Algebra,,,Expressions & Equations,Expressions & Equations,NO,A constant is a term in an expression that is a fixed number and contains no variable.,"In 4x + 9, the constant is 9.","In 2x - 5, the constant is -5.",A constant never changes because it has no variable.,"Constant = stays constant, no variable to move it.",coefficient-algebra;multi-step-equation-algebra;distributive-property-algebra;equation-algebra,DONE (OCR from card),a1ee_constant.png
multi-step-equation-algebra,Multi-Step Equation,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"A multi-step equation requires more than one step - distributing, combining like terms, and inverse operations - to solve.",2(x + 3) = 16 -> 2x + 6 = 16 -> x = 5.,3(x - 1) + 2 = 11 -> 3x - 1 = 11 -> x = 4.,"Work backwards: undo distribution and combining, then isolate the variable.","More than one move to make - clear, combine, then isolate.",coefficient-algebra;constant-algebra;distributive-property-algebra;equation-algebra,DONE (OCR from card),a1ee_distributethensolve.png
distributive-property-algebra,Distributive Property,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"The distributive property is a rule stating a(b + c) = ab + ac, multiplying a factor across a sum.",4(x + 2) = 4x + 8.,-3(2x - 5) = -6x + 15.,Multiply the outside factor by every term inside the parentheses.,Share the factor with everyone inside the parentheses.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;equation-algebra,DONE (OCR from card),a1ee_distributiveproperty.png
equation-algebra,Equation,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"An equation is a mathematical statement that two expressions are equal, joined by an equals sign.",2x + 3 = 11 is an equation.,x - 4 = 10 is an equation.,An equation always contains an equals sign.,Equation has an equals - both sides balance.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_equation.png
expression-algebra,Expression,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"An expression is a combination of numbers, variables, and operations with no equals sign.",3x + 5 is an expression.,2(x - 1) + 4 is an expression.,An expression can be simplified or evaluated but never solved.,"Expression = no equals sign, nothing to solve.",coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_expression.png
inverse-operation-algebra,Inverse Operation,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"An inverse operation is an operation that undoes another, such as addition and subtraction, used to solve equations.",Undo +5 by subtracting 5.,Undo x2 by dividing by 2.,Use the inverse operation to isolate the variable.,Inverse = the undo button for each operation.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_inverseoperation.png
isolate-the-variable-algebra,Isolate the Variable,Algebra,,,Expressions & Equations,Expressions & Equations,NO,To isolate the variable is to get the variable alone on one side of an equation using inverse operations.,x + 7 = 12 -> subtract 7 -> x = 5.,4x = 20 -> divide by 4 -> x = 5.,Undo operations in reverse order until the variable stands alone.,Get the variable alone on its own island.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_isolatethevariable.png
like-terms-algebra,Like Terms,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"Like terms are terms with the same variable raised to the same power, combined by adding their coefficients.",3x and 5x are like terms: 3x + 5x = 8x.,2y and -7y are like terms: 2y - 7y = -5y.,Only like terms can be combined by adding coefficients.,"Same variable, same power - they match.",coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_liketerms.png
literal-equation-algebra,Literal Equation,Algebra,,,Expressions & Equations,Expressions & Equations,NO,"A literal equation is an equation involving several variables, often a formula, solved for one chosen variable.",Solve A = lw for w: w = A/l.,Solve d = rt for r: r = d/t.,Use inverse operations to solve for the requested variable.,Literal = letters everywhere; pick one to solve for.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_literalequation.png
simplify-algebra,Simplify,Algebra,,,Expressions & Equations,Expressions & Equations,NO,To simplify is to rewrite an expression in its most compact form by distributing and combining like terms.,2(x + 3) + 4x = 6x + 6.,5x - 2 + 3x = 8x - 2.,"Distribute first, then combine like terms.",Simplify = tidy up until nothing else combines.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_simplify.png
solution-algebra,Solution,Algebra,,,Expressions & Equations,Expressions & Equations,NO,A solution is a value of the variable that makes an equation a true statement.,x = 4 is the solution of x + 3 = 7.,x = -2 is the solution of 2x = -4.,Substitute the solution back in to check it makes both sides equal.,Solution makes the equation true when you plug it in.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_solution.png
term-algebra,Term,Algebra,,,Expressions & Equations,Expressions & Equations,NO,A term is a single part of an expression separated by addition or subtraction signs.,"In 3x + 5, the terms are 3x and 5.","In 2x - 7 + y, the terms are 2x, -7, and y.",Plus and minus signs separate one term from the next.,Terms are the pieces the +/- signs break apart.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_term.png
variable-algebra,Variable,Algebra,,,Expressions & Equations,Expressions & Equations,NO,A variable is a letter or symbol that represents a number that can vary or is unknown.,"In 3x, x is the variable.","In 2a + b, a and b are variables.",A variable holds the place of a number you are solving for.,Variable can vary - its value is not fixed yet.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_variable.png
variables-on-both-sides-algebra,Variables on Both Sides,Algebra,,,Expressions & Equations,Expressions & Equations,NO,An equation with variables on both sides requires you to collect the variable terms together to solve.,5x + 2 = 3x + 10 -> 2x = 8 -> x = 4.,7x - 1 = 2x + 14 -> 5x = 15 -> x = 3.,"Move all variable terms to one side, then isolate.",Gather the variables on one side before you solve.,coefficient-algebra;constant-algebra;multi-step-equation-algebra;distributive-property-algebra,DONE (OCR from card),a1ee_variablesonbothsides.png
absolute-value-equation-algebra,Absolute Value Equation,Algebra,,,Inequalities,Inequalities,NO,"An absolute value equation is an equation containing an absolute value that splits into two cases, positive and negative.",|x| = 5 means x = 5 or x = -5.,|x - 2| = 3 means x = 5 or x = -1.,Split into two equations: the inside equals the positive and the negative value.,Absolute value opens two doors - plus and minus.,absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra;compound-inequality-algebra,DONE (OCR from card),a1in_absolutevalueequation.png
absolute-value-inequality-algebra,Absolute Value Inequality,Algebra,,,Inequalities,Inequalities,NO,An absolute value inequality is an inequality with an absolute value that becomes a compound (AND/OR) inequality.,|x| < 3 becomes -3 < x < 3.,|x| > 4 becomes x < -4 or x > 4.,Less-than makes an AND; greater-than makes an OR.,"Less-thAND, greatOR - the < joins, the > splits.",absolute-value-equation-algebra;and-intersection-algebra;closed-circle-algebra;compound-inequality-algebra,DONE (OCR from card),a1in_absolutevalueinequality.png
and-intersection-algebra,AND (Intersection),Algebra,,,Inequalities,Inequalities,NO,AND (intersection) is a compound inequality true only where both inequalities are satisfied at once.,x > 1 AND x < 5 gives 1 < x < 5.,x >= -2 AND x <= 3 gives -2 <= x <= 3.,The solution is the overlap where both parts are true.,AND = the overlap; only the shared middle survives.,absolute-value-equation-algebra;absolute-value-inequality-algebra;closed-circle-algebra;compound-inequality-algebra,DONE (OCR from card),a1in_andstatement.png
closed-circle-algebra,Closed Circle,Algebra,,,Inequalities,Inequalities,NO,A closed circle is a filled-in dot on a number line showing the boundary value is part of the solution.,x >= 4 uses a closed circle at 4.,x <= -1 uses a closed circle at -1.,Use a closed circle for <= and >=.,Closed circle = included; the line touches it.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;compound-inequality-algebra,DONE (OCR from card),a1in_closedcircle.png
compound-inequality-algebra,Compound Inequality,Algebra,,,Inequalities,Inequalities,NO,"A compound inequality is two inequalities joined by AND or OR, describing values between or outside bounds.",-2 < x <= 6 is a compound inequality.,x < 0 or x > 5 is a compound inequality.,AND gives a between-region; OR gives two separate regions.,Compound = two inequalities working as a pair.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra,DONE (OCR from card),a1in_compoundinequality.png
flip-the-inequality-algebra,Flip the Inequality,Algebra,,,Inequalities,Inequalities,NO,You flip the inequality symbol whenever you multiply or divide both sides by a negative number.,-2x < 6 -> x > -3 (flip).,-x >= 4 -> x <= -4 (flip).,Multiplying or dividing by a negative reverses the direction.,Negative flip - the sign turns around.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra,DONE (OCR from card),a1in_flipthesymbol.png
inequality-algebra,Inequality,Algebra,,,Inequalities,Inequalities,NO,"An inequality is a statement comparing two expressions using <, >, <=, or >=, often with many solutions.",x > 3 has many solutions.,2x + 1 <= 9 is an inequality.,"An inequality usually has a range of solutions, not just one.",Inequality is not equal - it compares instead.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra,DONE (OCR from card),a1in_inequality.png
open-circle-algebra,Open Circle,Algebra,,,Inequalities,Inequalities,NO,An open circle is a hollow dot on a number line showing the boundary value is not part of the solution.,x > 4 uses an open circle at 4.,x < -1 uses an open circle at -1.,Use an open circle for < and >.,Open circle = excluded; the value is left out.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra,DONE (OCR from card),a1in_opencircle.png
or-union-algebra,OR (Union),Algebra,,,Inequalities,Inequalities,NO,OR (union) is a compound inequality true wherever either of the two inequalities is satisfied.,x < 1 OR x > 5 covers both ends.,x <= -2 OR x >= 3 covers the outside.,The solution includes every value that satisfies at least one part.,OR = either one counts; both regions are in.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra,DONE (OCR from card),a1in_orstatement.png
solution-set-algebra,Solution Set,Algebra,,,Inequalities,Inequalities,NO,A solution set is the collection of all values that make an inequality or equation true.,The solution set of x > 2 is all numbers greater than 2.,The solution set of x <= 0 is all numbers 0 and below.,Graph or list every value that satisfies the statement.,Solution set = the whole crowd of answers that work.,absolute-value-equation-algebra;absolute-value-inequality-algebra;and-intersection-algebra;closed-circle-algebra,DONE (OCR from card),a1in_solutionset.png
arithmetic-sequence-algebra,Arithmetic Sequence,Algebra,,,Functions & Sequences,Functions & Sequences,NO,An arithmetic sequence is a number pattern where each term increases by a constant common difference.,"2, 5, 8, 11, ... adds 3 each time.","20, 16, 12, ... adds -4 each time.",Find the next term by adding the common difference.,Arithmetic = add the same amount every step.,common-difference-algebra;common-ratio-algebra;domain-algebra;evaluate-a-function-algebra,DONE (OCR from card),a1fn_arithmeticsequence.png
common-difference-algebra,Common Difference,Algebra,,,Functions & Sequences,Functions & Sequences,NO,The common difference is the fixed amount added to each term to get the next in an arithmetic sequence.,"In 3, 7, 11, 15, the common difference is 4.","In 10, 7, 4, 1, the common difference is -3.",Subtract any term from the one after it to find it.,Common difference - the steady step you add.,arithmetic-sequence-algebra;common-ratio-algebra;domain-algebra;evaluate-a-function-algebra,DONE (OCR from card),a1fn_commondifference.png
common-ratio-algebra,Common Ratio,Algebra,,,Functions & Sequences,Functions & Sequences,NO,The common ratio is the fixed amount each term is multiplied by to get the next in a geometric sequence.,"In 2, 6, 18, 54, the common ratio is 3.","In 80, 40, 20, the common ratio is 1/2.",Divide any term by the one before it to find it.,Common ratio - the steady multiplier.,arithmetic-sequence-algebra;common-difference-algebra;domain-algebra;evaluate-a-function-algebra,DONE (OCR from card),a1fn_commonratio.png
