slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
point-geometry,Point,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"An exact location in space, named by a capital letter, with no size or dimension.","Point A names one exact location — it has no length, width, or height.","Two points, A and B, can be connected to form a line segment.","A point has zero dimensions — no length, width, or thickness.",Just a location — no size at all.,line-geometry; plane-geometry; ray-geometry; line-segment-geometry,DONE (OCR from card),geofd_point.png
line-geometry,Line,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"A straight path of points that extends infinitely in both directions, with no thickness.",Line AB extends forever in both directions through points A and B.,Line AB and line BA name the same line.,A line has no endpoints — it goes on forever both ways.,"No start, no end, straight forever.",point-geometry; ray-geometry; line-segment-geometry; plane-geometry,DONE (OCR from card),geofd_line.png
plane-geometry,Plane,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"A flat, two-dimensional surface that extends without end in every direction.","Three points that are not on the same line name exactly one plane, Plane P.",A tabletop extended infinitely in every direction represents a plane.,A plane is perfectly flat and extends infinitely in all directions.,An endless flat sheet.,point-geometry; line-geometry,DONE (OCR from card),geofd_plane.png
line-segment-geometry,Line Segment,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"A part of a line bounded by two endpoints, having a definite length.","Segment AB has two endpoints and a measurable length, such as AB = 6 cm.","A segment 10 cm long has two fixed endpoints, unlike a ray or line.","Unlike a line, a segment has two endpoints and a fixed, measurable length.",A piece of a line with two ends.,line-geometry; ray-geometry; midpoint-geometry; congruent-segments-geometry,DONE (OCR from card),geofd_linesegment.png
ray-geometry,Ray,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,A part of a line with one endpoint that extends infinitely in one direction.,"Ray AB starts at endpoint A, passes through B, and continues forever in one direction.",Ray BA would start at B and extend through A and beyond — a different ray than ray AB.,A ray has exactly one endpoint and extends forever in only one direction.,"One end fixed, the other end never stops.",line-geometry; line-segment-geometry; angle-geometry; vertex-geometry,DONE (OCR from card),geofd_ray.png
angle-geometry,Angle,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"A figure formed by two rays sharing a common endpoint, called the vertex.",Angle ABC is formed by rays BA and BC meeting at vertex B.,"The middle letter in a named angle, like ABC, is always the vertex.",The middle letter of an angle's name always names the vertex.,"Two rays, one shared corner.",vertex-geometry; ray-geometry; degree-geometry; acute-angle-geometry,DONE (OCR from card),geofd_angle.png
vertex-geometry,Vertex,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"The common point where two rays of an angle, or two sides of a polygon, meet.",The vertex B is the common endpoint (corner) where the two rays of angle ABC meet.,"A triangle has three vertices, one at each corner.",The vertex is always the corner point where two rays or sides meet.,The corner point where things meet.,angle-geometry; ray-geometry; degree-geometry,DONE (OCR from card),geofd_vertex.png
degree-geometry,Degree,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,The unit of angle measure; a full rotation is 360 degrees.,A right angle measures 90 degrees.,A full circle measures 360 degrees.,Degrees measure how open or closed an angle is.,The unit for measuring how wide an angle opens.,angle-geometry; acute-angle-geometry; obtuse-angle-geometry; right-angle-geometry,DONE (OCR from card),geofd_degree.png
acute-angle-geometry,Acute Angle,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,An angle that measures greater than 0 and less than 90 degrees.,45 degrees is an acute angle.,10 degrees is an acute angle.,An acute angle is always smaller than a right angle.,"A small, 'cute' angle — under 90 degrees.",obtuse-angle-geometry; right-angle-geometry; straight-angle-geometry; degree-geometry,DONE (OCR from card),geofd_acuteangle.png
right-angle-geometry,Right Angle,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"An angle that measures exactly 90 degrees, shown with a small square mark.",A right angle always measures exactly 90 degrees.,The corner of a square or rectangle is a right angle.,"A right angle is always marked with a small corner square, not an arc.",Exactly 90 degrees — marked with a little square.,acute-angle-geometry; obtuse-angle-geometry; straight-angle-geometry; perpendicular-geometry,DONE (OCR from card),geofd_rightangle.png
obtuse-angle-geometry,Obtuse Angle,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,An angle that measures greater than 90 and less than 180 degrees.,120 degrees is an obtuse angle.,150 degrees is an obtuse angle.,An obtuse angle is always wider than a right angle but not a straight line.,"Wider than a right angle, but not flat.",acute-angle-geometry; right-angle-geometry; straight-angle-geometry,DONE (OCR from card),geofd_obtuseangle.png
straight-angle-geometry,Straight Angle,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,"An angle that measures exactly 180 degrees, forming a straight line.","Points A, B, and C on a straight line form a 180 degree straight angle.","A linear pair of angles always adds up to a straight angle, 180 degrees.","A straight angle looks like a straight line, not a bent corner.",A flat angle — exactly 180 degrees.,obtuse-angle-geometry; linear-pair-geometry; right-angle-geometry,DONE (OCR from card),geofd_straightangle.png
midpoint-geometry,Midpoint,Geometry,HSG-CO.A.1,HSG-CO.A.1,"Points, Lines & Angles","Points, Lines & Angles",NO,The point that divides a segment into two congruent halves.,Midpoint M divides segment AB so that AM = MB.,The midpoint of a 10 cm segment is 5 cm from each end.,A midpoint always creates two congruent (equal-length) halves.,The exact halfway point.,line-segment-geometry; segment-bisector-geometry; congruent-segments-geometry; midpoint-formula-geometry,DONE (OCR from card),geofd_midpoint.png
