slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
equivalent-ratios-grade-6,Equivalent Ratios,6th,6.RP.A.3,6.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"Ratios that show the same comparison, found by multiplying or dividing both terms by the same number.",2:3 = 4:6 (multiply both parts by 2).,Multiply or divide both quantities by the same number.,"Equivalent ratios name the same comparison, just scaled.","Same relationship, different numbers.",part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6; percent-grade-6,DONE (OCR from card),6_rp_equivalent ratios
part-to-part-ratio-grade-6,Part-to-Part Ratio,6th,6.RP.A.1,6.RP.A.1,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A ratio that compares one part of a group to a different part of that same group.,3 teal to 2 gold = 3:2 (part compared to part).,Neither number is the total — both are parts.,"Both numbers in the ratio are parts, not the whole group.",Comparing one part to another part.,equivalent-ratios-grade-6; part-to-whole-ratio-grade-6; per-grade-6; percent-grade-6,DONE (OCR from card),6_rp_part to part ratio
part-to-whole-ratio-grade-6,Part-to-Whole Ratio,6th,6.RP.A.1,6.RP.A.1,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A ratio comparing one part of a group to the whole group; it can be written as a fraction.,3 teal out of 5 total = 3:5 = 3/5 of the group.,The second number in the ratio is the total group size.,Part-to-whole ratios can always be rewritten as a fraction.,One part measured against everyone.,equivalent-ratios-grade-6; part-to-part-ratio-grade-6; per-grade-6; percent-grade-6,DONE (OCR from card),6_rp_part to whole ratio
per-grade-6,Per,6th,6.RP.A.2,6.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"A word meaning 'for each one'. It signals division and a unit rate, as in miles per hour.",60 miles per hour means 60 miles ÷ 1 hour.,'Per' tells you to divide.,'Per' means divide to find the amount for one unit.,'Per' = divide.,equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; percent-grade-6,DONE (OCR from card),6_rp_per
percent-grade-6,Percent,6th,6.RP.A.3,6.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,A ratio that compares a number to 100. The symbol % means 'per hundred'.,25 shaded out of 100 = 25/100 = 25%.,Percent means 'per hundred'.,A percent is always a comparison to 100.,Per cent = per hundred.,equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_percent
rate-grade-6,Rate,6th,6.RP.A.2,6.RP.A.2,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"A ratio that compares two quantities measured in different units, such as miles per hour.",120 miles over 2 hours is a rate — two different units.,60 miles per 1 hour is also a rate.,A rate always has two different units.,"Different units, compared.",equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_rate
ratio-language-grade-6,Ratio Language,6th,6.RP.A.1,6.RP.A.1,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"The words used to describe a ratio, such as 'for every' and 'to', in the same order as the numbers.","For every 3 cats, there are 2 dogs.",The order of the words must match the order of the numbers.,Say the numbers in the same order they appear in the ratio.,'For every' and 'to' — match the word order to the number order.,equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_ratio language
ratio-table-grade-6,Ratio Table,6th,6.RP.A.3,6.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"A table that organizes equivalent ratios, used to find missing values and solve ratio problems.","1 cup : 3 cookies, so 2 cups : 6 cookies.","Multiply both columns by the same number, or add a full ratio each row.",A ratio table lists equivalent ratios in an organized way.,"Same ratio, listed over and over, scaled up or down.",equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_ratio table
ratio-grade-6,Ratio,6th,6.RP.A.1,6.RP.A.1,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"A comparison of two quantities by division. It can be written as a to b, a:b, or a/b.",3 teal circles to 2 gold squares is the ratio 3:2.,"Write it three ways: with the word 'to', with a colon, or as a fraction.",A ratio compares two quantities — order matters.,"Three ways to write it, same comparison.",equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_ratio
scale-factor-grade-6,Scale Factor,6th,6.RP.A.3,6.RP.A.3,Ratios & Proportional Relationships,Ratios & Proportional Relationships,,"The number every measurement is multiplied by to make a scaled copy, larger or smaller.",A scale factor of 2 turns a 2-by-3 rectangle into a 4-by-6 rectangle.,Every length is multiplied by the same factor.,Multiply every measurement by the same scale factor.,"One number, applied to every length.",equivalent-ratios-grade-6; part-to-part-ratio-grade-6; part-to-whole-ratio-grade-6; per-grade-6,DONE (OCR from card),6_rp_scale factor
