CardID,Grade,CCSS,Domain,SkillName,Statement,Source,PairTitle,PairURL,MatchScore
1,6th Grade,6.EE.A.1,EE,Order of Operations,"use the order of operations to evaluate expressions, including those with exponents",catalog,Order of Operations,https://www.teacherspayteachers.com/Product/Order-of-Operations-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6EEA1-16334854,1.0
2,6th Grade,6.NS.B.4,NS,Greatest Common Factor,find the greatest common factor of two numbers and use it to rewrite sums,catalog,Greatest Common Factor,https://www.teacherspayteachers.com/Product/Greatest-Common-Factor-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6NSB4-16335993,1.0
3,6th Grade,6.NS.B.4,NS,Least Common Multiple,find the least common multiple of two numbers to solve real-world problems,catalog,Least Common Multiple,https://www.teacherspayteachers.com/Product/Least-Common-Multiple-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6NSB4-16336054,1.0
4,6th Grade,6.RP.A.1,RP,Understanding Ratios,use ratio language to describe the relationship between two quantities,catalog,Understanding Ratios,https://www.teacherspayteachers.com/Product/Understanding-Ratios-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6RPA1-16446844,1.0
5,6th Grade,6.RP.A.2,RP,Unit Rate Concept,find and interpret the unit rate of a ratio relationship,catalog,Unit Rate Concept,https://www.teacherspayteachers.com/Product/Unit-Rate-Concept-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6RPA2-16446870,1.0
6,6th Grade,6.RP.A.3,RP,Ratio Reasoning Application,use ratio and rate reasoning to solve real-world and mathematical problems,catalog,Ratio Reasoning Application,https://www.teacherspayteachers.com/Product/Ratio-Reasoning-Application-4-in-1-Skill-Sheet-for-6th-Math-CCSS-6RPA3-16446896,1.0
7,6th Grade,6.SP.A.1,SP,Statistical Questions,recognize a statistical question as one that expects variety in the answers,catalog,Statistical Questions,https://www.teacherspayteachers.com/Product/Statistical-Questions-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6SPA1-16446970,1.0
8,6th Grade,6.SP.A.2,SP,Understanding Distributions,"describe a data distribution by its center, spread, and overall shape",catalog,Understanding Distributions,https://www.teacherspayteachers.com/Product/Understanding-Distributions-4-in-1-Skill-Sheet-6th-Grade-Math-CCSS-6SPA2-16446985,1.0
9,6th Grade,6.NS.C.6b,NS,The Coordinate Plane,graph points in all four quadrants and explain how signs locate each point,catalog,The Coordinate Plane,https://www.teacherspayteachers.com/Product/The-Coordinate-Plane-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6NSC6b-16447019,1.0
10,6th Grade,6.SP.A.3,SP,Center vs Variability,explain how a measure of center and a measure of variation describe a data set,catalog,Center vs Variability,https://www.teacherspayteachers.com/Product/Center-vs-Variability-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6SPA3-16447038,1.0
11,6th Grade,6.NS.A.1,NS,Dividing Fractions by Fractions,divide fractions by fractions and interpret the quotient in context,catalog,Dividing Fractions by Fractions,https://www.teacherspayteachers.com/Product/Dividing-Fractions-by-Fractions-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-16447059,1.0
12,6th Grade,6.NS.B.2+B.3,NS,Multi-Digit Operations,fluently divide multi-digit numbers and compute with multi-digit decimals,catalog,Multi-Digit Operations (Whole + Decimal),https://www.teacherspayteachers.com/Product/Multi-Digit-Operations-4-in-1-Skill-Sheet-6th-Grade-Math-CCSS-6NSB2B3-16447084,0.77
13,6th Grade,6.NS.C.5+C.6a,NS,Positive & Negative Numbers in Context,use positive and negative numbers to represent real-world quantities,catalog,Positive & Negative Numbers in Context,https://www.teacherspayteachers.com/Product/Positive-Negative-Numbers-in-Context-4-in-1-Skill-Sheet-for-6th-Grade-Math-16447106,1.0
14,6th Grade,6.NS.C.6c,NS,Rationals on Number Line & Coord Plane,plot rational numbers on a number line and on the coordinate plane,catalog,Rationals on Number Line & Coord Plane,https://www.teacherspayteachers.com/Product/Rationals-on-Number-Line-Coord-Plane-4-in-1-Skill-Sheet-for-6th-Grade-Math-16447121,1.0
15,6th Grade,6.NS.C.7,NS,Comparing & Ordering Rationals & Abs Value,compare and order rational numbers and interpret absolute value,catalog,Comparing/Ordering Rationals & Absolute Value,https://www.teacherspayteachers.com/Product/Comparing-Ordering-Rationals-with-Absolute-Value-4-in-1-Skill-Sheet-6th-Math-16447144,0.93
16,6th Grade,6.EE.A.1,EE,Exponents,write and evaluate numerical expressions involving whole-number exponents,catalog,Exponents,https://www.teacherspayteachers.com/Product/Exponents-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6EEA1-16447175,1.0
17,6th Grade,6.EE.A.2a,EE,Writing Algebraic Expressions,write algebraic expressions from words using variables and operations,catalog,Writing Algebraic Expressions,https://www.teacherspayteachers.com/Product/Writing-Algebraic-Expressions-4-in-1-Skill-Sheet-6th-Math-CCSS-6EEA2a-16336162,1.0
18,6th Grade,6.EE.A.2c,EE,Evaluating Expressions,evaluate algebraic expressions at specific values of their variables,catalog,Evaluating Expressions,https://www.teacherspayteachers.com/Product/Evaluating-Expressions-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6EEA2c-16336208,1.0
19,6th Grade,6.EE.A.3+A.4,EE,Combining Like Terms (6th),combine like terms to write equivalent expressions,catalog,Combining Like Terms,https://www.teacherspayteachers.com/Product/Combining-Like-Terms-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6EEA3-16336294,0.92
20,6th Grade,6.EE.A.3,EE,Distributive Property (6th),apply the distributive property to write equivalent expressions,catalog,Distributive Property,https://www.teacherspayteachers.com/Product/Distributive-Property-4-in-1-Skill-Sheet-for-6th-Grade-Math-CCSS-6EEA3-16336515,0.93
21,6th Grade,6.EE.B.7,EE,Solving One-Step Equations,solve one-step equations using inverse operations,catalog,Solving One-Step Equations,https://www.teacherspayteachers.com/Product/Solving-One-Step-Equations-4-in-1-Skill-Sheet-6th-Grade-Math-CCSS-6EEB7-16336566,1.0
22,6th Grade,6.NS.C.6+C.8,NS,Real-World Problems on Coordinate Plane,solve real-world problems by graphing points and finding distances on the plane,catalog,Real-World Problems on Coordinate Plane,https://www.teacherspayteachers.com/Product/Real-World-Problems-on-the-Coordinate-Plane-4-in-1-Skill-Sheet-6th-Grade-Math-16447203,1.0
23,6th Grade,6.EE.C.9,EE,Independent and Dependent Variables,identify independent and dependent variables and show how they relate,catalog,Independent vs. Dependent Variables,https://www.teacherspayteachers.com/Product/Independent-vs-Dependent-Variables-4-in-1-Skill-Sheet-for-6th-Grade-Math-16447226,0.92
24,6th Grade,6.EE.A.4,EE,Identifying Equivalent Expressions,identify when two expressions are equivalent for any value of the variable,catalog,Identifying Equivalent Expressions,https://www.teacherspayteachers.com/Product/Identifying-Equivalent-Expressions-4-in-1-Skill-Sheet-for-6th-Grade-Math-16462584,1.0
25,6th Grade,6.EE.B.5+B.6,EE,Solutions & Writing Variables,decide whether a value is a solution and use variables to represent numbers,catalog,Solutions to Equations & Writing Variables,https://www.teacherspayteachers.com/Product/Solutions-to-Equations-Writing-Variables-4-in-1-Skill-Sheet-6th-Grade-Math-16462623,0.82
26,6th Grade,6.EE.B.8,EE,Inequalities & Graphs,write an inequality for a real-world condition and graph it on a number line,catalog,Inequalities & Their Graphs,https://www.teacherspayteachers.com/Product/Inequalities-Graphing-on-the-Number-Line-4-in-1-Skill-Sheet-6th-Grade-Math-16462647,0.88
27,6th Grade,6.SP.B.5a+5b+5c,SP,Measures of Center,"find the mean, median, and mode of a data set and choose the best measure",catalog,Numerical Data Summaries,https://www.teacherspayteachers.com/Product/Mean-Median-IQR-MAD-Numerical-Data-Summaries-4-in-1-Skill-Shee-6th-Math-16462904,0.42
